t;z;y;vz;vy;az;ay
2.3510000000000004e-12;6.311977996672501e-6;9.803464344065723e-10;6.937214586841791e6;940.9774690218175;1.3765968620784302e11;2.1380648444359373e7
2.352e-12;6.318915211259343e-6;9.81287411875594e-10;6.937214586979451e6;940.9774690431981;1.3735759303587892e11;2.1330762079457626e7
2.353e-12;6.325852425846323e-6;9.822283893446373e-10;6.937214587116809e6;940.9774690645288;1.3705649318576648e11;2.1281049491613623e7
2.3540000000000003e-12;6.33278964043344e-6;9.831693668137018e-10;6.937214587253865e6;940.9774690858098;1.3675638230737775e11;2.1231509877166003e7
2.3550000000000004e-12;6.339726855020694e-6;9.841103442827877e-10;6.937214587390621e6;940.9774691070413;1.3645725607437253e11;2.1182142437080897e7
2.356e-12;6.346664069608085e-6;9.850513217518948e-10;6.937214587527079e6;940.9774691282234;1.3615911018404214e11;2.1132946376920015e7
2.357e-12;6.353601284195612e-6;9.85992299221023e-10;6.937214587663238e6;940.9774691493564;1.3586194035715468e11;2.1083920906809013e7
2.3580000000000003e-12;6.360538498783275e-6;9.869332766901724e-10;6.9372145877991e6;940.9774691704403;1.3556574233780154e11;2.1035065241406206e7
2.3590000000000003e-12;6.367475713371074e-6;9.878742541593428e-10;6.937214587934666e6;940.9774691914753;1.3527051189324516e11;2.0986378599871475e7
2.36e-12;6.3744129279590085e-6;9.888152316285343e-10;6.937214588069937e6;940.9774692124616;1.3497624481376747e11;2.093786020583534e7
2.361e-12;6.3813501425470785e-6;9.897562090977467e-10;6.937214588204914e6;940.9774692333995;1.3468293691252031e11;2.0889509287368435e7
2.3620000000000002e-12;6.388287357135283e-6;9.906971865669802e-10;6.937214588339597e6;940.977469254289;1.3439058402537598e11;2.0841325076951113e7
2.3630000000000003e-12;6.3952245717236224e-6;9.916381640362346e-10;6.937214588473988e6;940.9774692751303;1.3409918201077988e11;2.079330681144334e7
2.364e-12;6.4021617863120964e-6;9.925791415055097e-10;6.937214588608087e6;940.9774692959236;1.338087267496036e11;2.0745453732054792e7
2.365e-12;6.409099000900704e-6;9.935201189748056e-10;6.937214588741896e6;940.977469316669;1.3351921414499919e11;2.069776508431522e7
2.3660000000000002e-12;6.416036215489446e-6;9.944610964441222e-10;6.937214588875415e6;940.9774693373668;1.3323064012225534e11;2.0650240118045084e7
2.3670000000000003e-12;6.4229734300783215e-6;9.954020739134595e-10;6.937214589008645e6;940.977469358017;1.329430006286531e11;2.0602878087326296e7
2.368e-12;6.42991064466733e-6;9.963430513828175e-10;6.937214589141588e6;940.9774693786198;1.326562916333244e11;2.055567825047336e7
2.369e-12;6.436847859256471e-6;9.972840288521962e-10;6.937214589274244e6;940.9774693991756;1.3237050912711034e11;2.0508639870004598e7
2.37e-12;6.443785073845746e-6;9.982250063215953e-10;6.937214589406615e6;940.9774694196842;1.3208564912242117e11;2.0461762212613676e7
2.3710000000000003e-12;6.4507222884351525e-6;9.99165983791015e-10;6.937214589538701e6;940.977469440146;1.318017076530973e11;2.041504454914136e7
2.372e-12;6.457659503024691e-6;1.000106961260455e-9;6.937214589670503e6;940.9774694605611;1.3151868077427118e11;2.036848615454745e7
2.373e-12;6.464596717614362e-6;1.0010479387299156e-9;6.937214589802021e6;940.9774694809296;1.3123656456223004e11;2.032208630788295e7
2.374e-12;6.471533932204164e-6;1.0019889161993966e-9;6.937214589933258e6;940.9774695012517;1.3095535511428029e11;2.0275844292262487e7
2.3750000000000003e-12;6.478471146794098e-6;1.0029298936688979e-9;6.937214590064213e6;940.9774695215275;1.3067504854861241e11;2.0229759394836932e7
2.3760000000000004e-12;6.4854083613841616e-6;1.0038708711384194e-9;6.9372145901948875e6;940.9774695417573;1.3039564100416684e11;2.01838309067662e7
2.377e-12;6.492345575974357e-6;1.0048118486079613e-9;6.937214590325283e6;940.9774695619411;1.3011712864050113e11;2.0138058123192277e7
2.378e-12;6.499282790564682e-6;1.0057528260775231e-9;6.9372145904554e6;940.9774695820792;1.2983950763765802e11;2.0092440343212523e7
2.3790000000000003e-12;6.506220005155138e-6;1.0066938035471053e-9;6.937214590585239e6;940.9774696021716;1.2956277419603442e11;2.0046976869853113e7
2.3800000000000004e-12;6.513157219745723e-6;1.0076347810167075e-9;6.937214590714802e6;940.9774696222186;1.2928692453625145e11;2.0001667010042675e7
2.381e-12;6.520094434336438e-6;1.0085757584863298e-9;6.937214590844089e6;940.9774696422203;1.2901195489902502e11;1.995651007458617e7
2.382e-12;6.527031648927282e-6;1.0095167359559719e-9;6.937214590973102e6;940.9774696621768;1.2873786154503857e11;1.9911505378139023e7
2.3830000000000002e-12;6.533968863518254e-6;1.010457713425634e-9;6.937214591101839e6;940.9774696820882;1.284646407548151e11;1.9866652239181325e7
2.3840000000000003e-12;6.540906078109356e-6;1.011398690895316e-9;6.937214591230304e6;940.9774697019549;1.2819228882859142e11;1.9821949979992356e7
2.385e-12;6.547843292700586e-6;1.012339668365018e-9;6.937214591358496e6;940.9774697217769;1.2792080208619278e11;1.977739792662523e7
