[z = 8.839794703106734e-7, y = 1.3754340176578175e-10], [vz = 6.945179170933664e6, vy = 99.5232257671977], [az = 7.1302470754168e12, ay = 1.117412195731049e9]
[z = 8.90924649481607e-7, y = 1.3764292499154896e-10], [vz = 6.94517917795231e6, vy = 99.5232268592689], [az = 7.018646506055161e12, ay = 1.092071194702144e9]
[z = 8.978698286595593e-7, y = 1.3774244821840822e-10], [vz = 6.945179184861956e6, vy = 99.5232279267709], [az = 6.9096456879679795e12, ay = 1.0675019977284745e9]
[z = 9.048150078444212e-7, y = 1.37841971446335e-10], [vz = 6.94517919166512e6, vy = 99.52322897044617], [az = 6.8031644949698125e12, ay = 1.0436752670135686e9]
[z = 9.117601870360864e-7, y = 1.3794149467530543e-10], [vz = 6.945179198364247e6, vy = 99.52322999100916], [az = 6.699125864189304e12, ay = 1.0205629969455194e9]
[z = 9.187053662344506e-7, y = 1.3804101790529643e-10], [vz = 6.945179204961702e6, vy = 99.5232309891476], [az = 6.597455656599552e12, ay = 9.981384439298528e8]
[z = 9.256505454394124e-7, y = 1.3814054113628558e-10], [vz = 6.945179211459785e6, vy = 99.52323196552366], [az = 6.498082524900885e12, ay = 9.763760604191625e8]
[z = 9.325957246508721e-7, y = 1.382400643682511e-10], [vz = 6.945179217860723e6, vy = 99.5232329207751], [az = 6.400937788316391e12, ay = 9.552514328590125e8]
[z = 9.395409038687329e-7, y = 1.3833958760117187e-10], [vz = 6.945179224166678e6, vy = 99.52323385551632], [az = 6.305955313889875e12, ay = 9.347412232902908e8]
[z = 9.464860830928996e-7, y = 1.3843911083502738e-10], [vz = 6.94517923037975e6, vy = 99.52323477033944], [az = 6.213071403903226e12, ay = 9.148231143672403e8]
[z = 9.534312623232793e-7, y = 1.3853863406979773e-10], [vz = 6.945179236501975e6, vy = 99.5232356658152], [az = 6.122224689055172e12, ay = 8.954757575678592e8]
[z = 9.603764415597813e-7, y = 1.3863815730546355e-10], [vz = 6.945179242535331e6, vy = 99.52323654249393], [az = 6.03335602706704e12, ay = 8.766787243895062e8]
[z = 9.673216208023167e-7, y = 1.3873768054200605e-10], [vz = 6.945179248481739e6, vy = 99.5232374009064], [az = 5.946408406402568e12, ay = 8.584124603373593e8]
[z = 9.742668000507985e-7, y = 1.3883720377940695e-10], [vz = 6.945179254343066e6, vy = 99.52323824156464], [az = 5.861326854809212e12, ay = 8.406582415270811e8]
[z = 9.812119793051415e-7, y = 1.389367270176485e-10], [vz = 6.945179260121125e6, vy = 99.52323906496278], [az = 5.778058352406844e12, ay = 8.233981337356317e8]
[z = 9.881571585652625e-7, y = 1.3903625025671347e-10], [vz = 6.945179265817677e6, vy = 99.52323987157773], [az = 5.696551749067359e12, ay = 8.06614953745839e8]
[z = 9.951023378310803e-7, y = 1.3913577349658504e-10], [vz = 6.945179271434435e6, vy = 99.52324066186996], [az = 5.616757685844754e12, ay = 7.902922328410715e8]
[z = 1.0020475171025147e-6, y = 1.392352967372469e-10], [vz = 6.945179276973063e6, vy = 99.52324143628414], [az = 5.538628520230268e12, ay = 7.744141823162899e8]
[z = 1.0089926963794877e-6, y = 1.3933481997868318e-10], [vz = 6.945179282435182e6, vy = 99.5232421952498], [az = 5.4621182550213125e12, ay = 7.589656608809506e8]
[z = 1.015937875661923e-6, y = 1.3943434322087843e-10], [vz = 6.945179287822364e6, vy = 99.52324293918194], [az = 5.387182470605807e12, ay = 7.43932143837704e8]
[z = 1.0228830549497454e-6, y = 1.3953386646381762e-10], [vz = 6.945179293136142e6, vy = 99.52324366848164], [az = 5.313778260475825e12, ay = 7.292996939287143e8]
[z = 1.0298282342428814e-6, y = 1.396333897074861e-10], [vz = 6.945179298378007e6, vy = 99.52324438353658], [az = 5.241864169795735e12, ay = 7.150549337486905e8]
[z = 1.0367734135412593e-6, y = 1.3973291295186963e-10], [vz = 6.945179303549407e6, vy = 99.5232450847216], [az = 5.171400136860561e12, ay = 7.011850196304609e8]
[z = 1.0437185928448088e-6, y = 1.3983243619695435e-10], [vz = 6.945179308651755e6, vy = 99.5232457723992], [az = 5.102347437290243e12, ay = 6.87677616915183e8]
[z = 1.0506637721534606e-6, y = 1.3993195944272674e-10], [vz = 6.945179313686423e6, vy = 99.52324644692008], [az = 5.03466863081462e12, ay = 6.745208765250698e8]
[z = 1.057608951467147e-6, y = 1.4003148268917367e-10], [vz = 6.9451793186547505e6, vy = 99.5232471086235], [az = 4.968327510512577e12, ay = 6.617034127618936e8]
[z = 1.0645541307858018e-6, y = 1.401310059362823e-10], [vz = 6.94517932355804e6, vy = 99.52324775783778], [az = 4.903289054376898e12, ay = 6.492142822595258e8]
[z = 1.0714993101093599e-6, y = 1.4023052918404012e-10], [vz = 6.945179328397559e6, vy = 99.52324839488074], [az = 4.839519379083756e12, ay = 6.370429640233977e8]
[z = 1.0784444894377575e-6, y = 1.40330052432435e-10], [vz = 6.945179333174544e6, vy = 99.52324902006008], [az = 4.776985695853002e12, ay = 6.251793404941036e8]
[z = 1.085389668770932e-6, y = 1.4042957568145506e-10], [vz = 6.9451793378902e6, vy = 99.52324963367376], [az = 4.715656268291786e12, ay = 6.136136795763377e8]
[z = 1.092334848108822e-6, y = 1.4052909893108873e-10], [vz = 6.9451793425457e6, vy = 99.52325023601037], [az = 4.655500372120397e12, ay = 6.02336617578124e8]
[z = 1.0992800274513676e-6, y = 1.4062862218132474e-10], [vz = 6.945179347142189e6, vy = 99.52325082734951], [az = 4.596488256684771e12, ay = 5.913391430087298e8]
[z = 1.1062252067985099e-6, y = 1.4072814543215208e-10], [vz = 6.94517935168078e6, vy = 99.52325140796209], [az = 4.538591108165809e12, ay = 5.806125811869224e8]
[z = 1.1131703861501907e-6, y = 1.4082766868356005e-10], [vz = 6.945179356162561e6, vy = 99.52325197811068], [az = 4.481781014400405e12, ay = 5.70148579614203e8]
