t;z;y;vz;vy;az;ay;KE;V
8.894000000000001e-15;7.89952661207608e-9;1.464734369996327e-10;5.179239605633026e6;24443.717322768378;-5.533244787785229e20;-2.673677585870656e20;8.912646248871236e-14;7.751876253007417e-14
8.895000000000001e-15;7.904705851681713e-9;1.4649788071695546e-10;5.178686281154247e6;24176.349564181313;-7.704073490302897e20;-3.230450011349862e20;8.910737707395451e-14;7.754152254696364e-14
8.896000000000001e-15;7.909884537962868e-9;1.4652205706651964e-10;5.1779158738052165e6;23853.304563046328;-1.0154503295313238e21;-4.055041792985267e20;8.908081595189836e-14;7.757221349756718e-14
8.897000000000001e-15;7.915062453836673e-9;1.465459103710827e-10;5.1769004234756855e6;23447.8003837478;-1.2996491203788538e21;-5.250275453936281e20;8.90458167953177e-14;7.761198373940427e-14
8.898e-15;7.920239354260149e-9;1.4656935817146645e-10;5.175600774355306e6;22922.772838354173;-1.637238821720654e21;-6.980137152877903e20;8.900103293442508e-14;7.766241641901628e-14
8.899e-15;7.925414955034505e-9;1.465922809443048e-10;5.173963535533586e6;22224.759123066382;-2.046169444310424e21;-9.508451741212929e20;8.894462943658898e-14;7.77256462865077e-14
8.9e-15;7.930588918570039e-9;1.4661450570342786e-10;5.171917366089275e6;21273.91394894509;-2.547893215209168e21;-1.3265462123210854e21;8.887415660050685e-14;7.780448762298701e-14
8.901e-15;7.935760835936128e-9;1.466357796173768e-10;5.169369472874066e6;19947.367736624004;-3.163950477615134e21;-1.8959574870448496e21;8.878643204655697e-14;7.790250940625698e-14
8.902e-15;7.940930205409003e-9;1.4665572698511342e-10;5.166205522396451e6;18051.410249579156;-3.90293227333625e21;-2.774863502271764e21;8.86775427855139e-14;7.802385399738458e-14
8.903000000000001e-15;7.946096410931398e-9;1.46673778395363e-10;5.162302590123114e6;15276.546747307391;-4.7218100767715125e21;-4.142773687742148e21;8.854330066768834e-14;7.817222939318704e-14
8.904000000000001e-15;7.951258713521522e-9;1.4668905494211032e-10;5.157580780046343e6;11133.773059565243;-5.430782482577005e21;-6.231344351594153e21;8.838103660783088e-14;7.834769807429985e-14
8.905000000000001e-15;7.956416294301568e-9;1.467001887151699e-10;5.152149997563766e6;4902.428707971089;-5.528611099710939e21;-9.165952460683119e21;8.819467813967381e-14;7.853889306151322e-14
8.906e-15;7.961568444299132e-9;1.4670509114387785e-10;5.146621386464056e6;-4263.523752712031;-4.177159691194059e21;-1.2461320331781755e22;8.800548250385316e-14;7.871070335487912e-14
8.907e-15;7.966715065685596e-9;1.4670082762012514e-10;5.142444226772862e6;-16724.844084493787;-9.844246136301858e20;-1.4510267349420976e22;8.78635535191836e-14;7.880295862796383e-14
8.908e-15;7.97185750991237e-9;1.4668410277604064e-10;5.141459802159231e6;-31235.11143391476;2.731949267977274e21;-1.3744764377110306e22;8.783222959894989e-14;7.876977443860138e-14
8.909e-15;7.97699896971453e-9;1.4665286766460673e-10;5.144191751427208e6;-44979.875811025064;5.017774521176435e21;-1.0805886597104488e22;8.792907195264832e-14;7.862925635827324e-14
8.91e-15;7.982143161465956e-9;1.466078877887957e-10;5.149209525948385e6;-55785.76240812955;5.520544630396293e21;-7.577120414242614e21;8.810429671108828e-14;7.844230217338079e-14
8.911000000000001e-15;7.987292370991904e-9;1.465521020263876e-10;5.154730070578781e6;-63362.882822372165;5.030010032239382e21;-5.076404371804516e21;8.829629123447827e-14;7.825785873395925e-14
8.912000000000001e-15;7.992447101062482e-9;1.4648873914356521e-10;5.15976008061102e6;-68439.28719417668;4.23513808723482e21;-3.388013058018296e21;8.847089216471941e-14;7.809717655951518e-14
8.913000000000001e-15;7.997606861143093e-9;1.4642029985637104e-10;5.163995218698255e6;-71827.30025219498;3.4535114876196256e21;-2.2966220131104352e21;8.861773920338536e-14;7.796434648138108e-14
