b;a
1.0942745490981964e-11;-1.9573285008794925
1.0902845691382766e-11;-1.9812302554360122
1.0862945891783566e-11;-2.0044513130822335
1.0823046092184368e-11;-2.026899176505926
1.078314629258517e-11;-2.048484321415969
1.0743246492985972e-11;-2.069160406652215
1.0703346693386772e-11;-2.088944538366215
1.0663446893787574e-11;-2.1079045213025793
1.0623547094188376e-11;-2.126115828824979
1.0583647294589178e-11;-2.1436091230484284
1.0543747494989979e-11;-2.1603380224748685
1.050384769539078e-11;-2.1761884496031203
1.0463947895791583e-11;-2.191028052506543
1.0424048096192385e-11;-2.2047714656078754
1.0384148296593187e-11;-2.217430809160978
1.0344248496993987e-11;-2.2291335835704005
1.0304348697394789e-11;-2.24010873738566
1.0264448897795591e-11;-2.250651050433533
1.0224549098196393e-11;-2.261070219425789
1.0184649298597193e-11;-2.271621794598654
1.0144749498997995e-11;-2.2824164739203208
1.0104849699398797e-11;-2.293328491887875
1.0064949899799599e-11;-2.303971827080594
1.00250501002004e-11;-2.3138230772682573
9.985150300601201e-12;-2.3224519319508845
9.945250501002003e-12;-2.3296663176021553
9.905350701402805e-12;-2.3354626532240323
9.865450901803607e-12;-2.339914196891329
9.825551102204408e-12;-2.3431356941944297
9.78565130260521e-12;-2.3452891563274103
9.745751503006012e-12;-2.346561343135449
9.705851703406814e-12;-2.347119930932122
9.665951903807614e-12;-2.3470876769679765
9.626052104208416e-12;-2.3465502136846292
9.586152304609218e-12;-2.345576740753546
9.54625250501002e-12;-2.3442106349057092
9.50635270541082e-12;-2.3424070082969926
9.466452905811622e-12;-2.33996458712684
9.426553106212424e-12;-2.3365459444269083
9.386653306613226e-12;-2.331808791431348
9.346753507014028e-12;-2.3255465843337353
9.306853707414829e-12;-2.317728891762725
9.26695390781563e-12;-2.3084426554267177
9.227054108216433e-12;-2.2978105827128914
9.187154308617235e-12;-2.285931755066593
9.147254509018035e-12;-2.272811702118055
9.107354709418837e-12;-2.258242688501035
9.067454909819639e-12;-2.241743223804843
9.027555110220441e-12;-2.2227486200624065
8.987655310621241e-12;-2.2009314181567414
8.947755511022043e-12;-2.1762764231791127
8.907855711422845e-12;-2.1488833561127327
8.867955911823647e-12;-2.118763207944232
8.828056112224449e-12;-2.0856964016582813
8.78815631262525e-12;-2.049166187569176
8.748256513026051e-12;-2.0085676794248277
8.708356713426853e-12;-1.9636279308469025
8.668456913827655e-12;-1.9144363648008755
8.628557114228456e-12;-1.860795832198922
8.588657314629258e-12;-1.8015580507385323
8.54875751503006e-12;-1.7349596182268352
8.508857715430862e-12;-1.6601432610000155
8.468957915831662e-12;-1.5783243581384991
8.429058116232464e-12;-1.4915855686234811
8.389158316633266e-12;-1.3990733887113218
8.349258517034068e-12;-1.2929579069699724
8.30935871743487e-12;-1.1571281764125767
8.26945891783567e-12;-0.9669013690994092
8.229559118236472e-12;-0.6891702444069125
8.189659318637274e-12;-0.3293962503681738
8.149759519038076e-12;0.03431891803984501
8.109859719438877e-12;0.3500949973190341
8.069959919839679e-12;0.5694596334382678
8.03006012024048e-12;0.6766836667605841
7.990160320641283e-12;0.700871106285318
7.950260521042083e-12;0.6767082542900463
7.910360721442885e-12;0.6343716853011312
7.870460921843687e-12;0.6059506624370581
7.830561122244489e-12;0.6372828761163128
7.790661322645291e-12;0.8072122683914456
7.750761523046091e-12;1.196246724691093
